index,x,y,source
0,-121.4656588,38.5250939,crossing_node
1,-121.383917,38.5638133,crossing_node
2,-121.383506,38.6408946,crossing_node
3,-121.5099299,38.6144589,crossing_node
4,-121.520436,38.679674,crossing_node
5,-121.4281429,38.458116,crossing_node
6,-121.4231396,38.5445572,crossing_node
7,-121.5048121,38.5893555,crossing_node
8,-121.4907667,38.5302777,crossing_node
9,-121.537952,38.6043348,crossing_node
10,-121.5327612,38.6322778,crossing_node
11,-121.493638,38.5611253,crossing_node
12,-121.503586,38.5375499,crossing_node
13,-121.4880885,38.5525857,crossing_node
14,-121.4284498,38.458036,crossing_node
15,-121.4757673,38.5409444,crossing_node
16,-121.5023262,38.6803696,crossing_node
17,-121.5007954,38.6794937,crossing_node
18,-121.4624876,38.5469931,crossing_node
19,-121.462591,38.5468282,crossing_node
20,-121.4279054,38.554353,crossing_node
21,-121.4762412,38.6365023,crossing_node
22,-121.4379293,38.6052758,crossing_node
23,-121.527607,38.6058314,crossing_node
24,-121.435282,38.5322148,crossing_node
25,-121.44369,38.4473014,crossing_node
26,-121.4437411,38.4473797,crossing_node
27,-121.5138674,38.6038291,crossing_node
28,-121.5141801,38.6039086,crossing_node
29,-121.409218,38.5448231,crossing_node
31,-121.4314721,38.4383437,crossing_node
32,-121.499467,38.5244427,crossing_node
33,-121.432587,38.5639986,crossing_node
34,-121.5112764,38.6520255,crossing_node
35,-121.4231677,38.4453334,crossing_node
36,-121.4474879,38.6439432,crossing_node
37,-121.4474876,38.6328297,crossing_node
38,-121.4474952,38.6288387,crossing_node
39,-121.4577619,38.6111415,crossing_node
40,-121.4593864,38.610274,crossing_node
41,-121.5247055,38.6277983,crossing_node
42,-121.4633392,38.5471087,crossing_node
43,-121.4633425,38.5468913,crossing_node
44,-121.4329318,38.5395534,crossing_node
45,-121.5279698,38.6623343,crossing_node
46,-121.5248161,38.6486062,crossing_node
47,-121.4592519,38.577359,crossing_node
48,-121.4333144,38.5644628,crossing_node
49,-121.4578078,38.5468888,crossing_node
50,-121.4577988,38.5466583,crossing_node
51,-121.4349458,38.5385523,crossing_node
52,-121.4956873,38.5769353,crossing_node
53,-121.4954809,38.5774018,crossing_node
54,-121.536505,38.6050045,crossing_node
55,-121.4679519,38.6111825,crossing_node
56,-121.5050832,38.6125873,crossing_node
57,-121.510726,38.6707147,crossing_node
58,-121.4092967,38.5421879,crossing_node
59,-121.439279,38.478353,crossing_node
60,-121.4554545,38.606152,crossing_node
61,-121.4594083,38.5467085,crossing_node
62,-121.44851,38.6065392,crossing_node
63,-121.49782,38.524825,crossing_node
64,-121.4220415,38.5542326,crossing_node
65,-121.509911,38.550859,crossing_node
66,-121.493619,38.5305707,crossing_node
67,-121.492628,38.5788576,crossing_node
68,-121.505244,38.5488204,crossing_node
69,-121.4304912,38.5983436,crossing_node
70,-121.539744,38.6032547,crossing_node
71,-121.498087,38.5642556,crossing_node
72,-121.4805149,38.4804529,crossing_node
73,-121.4314618,38.4637099,crossing_node
74,-121.430525,38.57013,crossing_node
75,-121.508051,38.6654492,crossing_node
76,-121.518191,38.528401,crossing_node
77,-121.5323277,38.4764358,crossing_node
78,-121.488742,38.5765838,crossing_node
79,-121.5088346,38.6125644,crossing_node
80,-121.4641641,38.6064975,crossing_node
81,-121.5208284,38.6140383,crossing_node
82,-121.47156,38.5995853,crossing_node
83,-121.5053207,38.6385596,crossing_node
